Event Name,EMS Reservation ID,Day,Date,Event Start Time,Event End Time,Event Duration (hours),Event Duration (minutes),Booking Status,Building / Outside / Off Campus / Virtual,Location / Room,"Host. Select one: Art Museum, PU Department,PPU Group, Corporate","Campus Department / Event Organizer: Museum Education, Museum Development, Dept Art & Arch, Noom, etc.",Event Lead,Event Contact,Program Partner(s) and/or Cosponsor(s),Exhibition / Initiative,"Event Format (in person, virtual, or hybrid)",Event Type  (Select One: Concert; Conference; Film Screening; Lecture; Meeting; Open House; Other; Panel Discussion; Performance; Reception; Rehearsal; Student Organizations Event; Studio [for programs in the Creativity Labs]; Study Break/Review Session; Tour; Training Session),Target Audience (Select One: Student-Centric; Departmental/Academic; General Audience; Multi-generational; Corporate; Cultivation; Friends; Partners),Event Access (Public or Private),Registration (Y/N),Fee (Y/N),Setup / Expected Attendance #,Actual Attendance #,Chartstring,Notes,Feedback
Summer Film Series | Into the Wild,,Thursday,"July 24, 2025",8:00 PM,10:00 PM,2:00,120.0,Confirmed,Outside,Blair-Jolene Courtyard,Art Museum,Museum Education,Danielle Beach,,,Leni Paquet-Morante,In Person,Film Screening,General Audience,Public,N,N,,47,41415 B0371 GU633,Kenny G already set up electricity. WO from Kristen is 25-470690 for full Film Series. Lisa will pay Swank on July 1 (confirmed with Lisa and Caleb at Swank.) Starting right at sunset works well when Premiere backs the screen.,Someone said well done on the film selection. It made her think. 
Raindate: Summer Film Series | Moonrise Kingdom,,Wednesday,"August 6, 2025",8:00 PM,10:00 PM,2:00,120.0,Confirmed,Outside,Blair-Jolene Courtyard,Art Museum,Museum Education,Danielle Beach,,,Leni Paquet-Morante,In Person,Film Screening,General Audience,Public,N,N,,42,41415 B0371 GU633,,
Annual Picnic and Family Movie Night,,Thursday,"August 7, 2025",6:00 PM,10:00 PM,4:00,240.0,Confirmed,Outside,Little Hall Courtyard,Art Museum,Museum Education,Cara Bramson,,,Leni Paquet-Morante,In Person,Open House,General Audience,Public,N,N,,600,41415 B0371 GU309,Electricity: Kenny G will do. WO from Kristen is 25-470580 Picnic/Family Night,
Summer Film Series | Moana,,Thursday,"August 7, 2025",8:00 PM,10:00 PM,2:00,120.0,Confirmed,Outside,Little Hall Courtyard,Art Museum,Museum Education,Danielle Beach,,,Leni Paquet-Morante,In Person,Film Screening,General Audience,Public,N,N,,200,41415 B0371 GU309,"Film started at 8:06 which really helped the artmaking table be able to clean up. More families stayed for the film this year, but only about 25% of families stayed until the end of the screening. We went through about 140 servings of popcorn. **Kenny G. noted that popcorn machine requires a different electrical setup: non-gifi receptical.",Many people commented on how great it is that we offer this to the community.
Film Screening: Memento,,Thursday,"September 11, 2025",7:00 PM,9:30 PM,2:30,150.0,Confirmed,Off Campus,Princeton Garden Theater,Art Museum,Museum Education,Danielle Beach,,Princeton Garden Theater,Leni Paquet-Morante,In Person,Film Screening,General Audience,Public,N,Y,,129,41415 B0371 GU633,Connected with PGT Hollywood Summer. Great attednance!,
Artist Conversation | Léni Paquet-Morante and Michael Quituisaca ,,Thursday,"September 18, 2025",5:30 PM,7:30 PM,2:00,120.0,Confirmed,JRR,JRR 399,Art Museum,Museum Education,Danielle Beach,,,Leni Paquet-Morante,In Person,Lecture,General Audience,Public,N,N,,54,41415 B0371 GU633,JRR 397/hallway confirmed for reception. Recorded on Zoom but not streamed or posted. Send file to participants after the program.,
Alumni in the Arts Panel,,Thursday,"September 25, 2025",5:30 PM,7:30 PM,2:00,120.0,Confirmed,Carl A Fields Center,Carl A Fields Center Multipurpose Room,Art Museum,Museum Education,Cara Bramson,,,,In Person,Panel Discussion,Student-Centric,Private,N,N,,30,41415 B0371 GU323,,
Film Screening: Rashomon,,Thursday,"September 25, 2025",7:00 PM,9:30 PM,2:30,150.0,Confirmed,Off Campus,Princeton Garden Theater,Art Museum,Museum Education,Danielle Beach,,Princeton Garden Theater,Leni Paquet-Morante,In Person,Film Screening,General Audience,Public,N,Y,,126,41415 B0371 GU633,,
Faculty Panel: Léni Paquet-Morante: Extract / Abstract,,Friday,"October 3, 2025",2:00 PM,4:00 PM,2:00,120.0,Confirmed,JRR,JRR A17,Art Museum,Museum Education,Danielle Beach,,,Leni Paquet-Morante,In Person,Panel Discussion,General Audience,Public,N,N,,26,41411 B0001 GU633,LAS Atrium as reception space. ,
Museum Student Preview,,Saturday,"October 25, 2025",7:00 PM,11:00 PM,4:00,240.0,Confirmed,Art Museum,Multiple Locations,Art Museum,Museum Education,Cara Bramson,,,Student Program,In Person,Open House,Student-Centric,Private,N,N,,2698,41411-B1368-GU135,,
Museum Preview - Trades,,Monday,"October 27, 2025",3:00 PM,7:00 PM,4:00,240.0,Confirmed,Art Museum,Multiple Locations,Art Museum,Museum Education,Cara Bramson,,,,In Person,Open House,Department/Academic,Private,Y,N,,904,41411-B1368-GU136,,
"Museum  Preview: Art World, K-12 Educators, Princeton University Faculty and Staff ",,Tuesday,"October 28, 2025",1:00 PM,7:00 PM,6:00,360.0,Confirmed,Art Museum,Multiple Locations,Art Museum,Museum Education,Cara Bramson,,,,,Open House,Department/Academic,Private,Y,N,,1203,41411-B1368-GU387,,
24-Hour Opening Celebration,,Friday,"October 31, 2025",5:00 PM,5:00 PM,0:00,0.0,Confirmed,Art Museum,Multiple Locations,Art Museum,Museum Education,Cara Bramson,,,,,Open House,General Audience,Public,N,N,,22000,41411-B1368-GU442,,
Drawing from the Collections: Dive into Pastels  ,,Thursday,"November 6, 2025",8:00 PM,9:00 PM,1:00,60.0,Confirmed,Virtual,Online only,Art Museum,Museum Education,Danielle Beach,,Arts Council of Princeton,Princeton Collects,Virtual,Studio,General Audience,Public,Y,N,,462,41415 B0371 GU633,,
Pop-Up Talk: Curator Karl Kusserow,,Friday,"November 7, 2025",2:00 PM,3:00 PM,1:00,60.0,Confirmed,Art Museum,Grand Hall,Art Museum,Museum Education,Cara and Danielle,,,,In Person,Lecture,General Audience,Public,N,N,,93,41411 B0001 GU633,2nd location: American Gallery (Pavillion 7). Lollipop outside GH? People were lost. No audience Q&A in GH next time. 100 chairs next time.,Postive feedback from several people.
ARTMAKING: Léni Paquet-Morante: Field Notes through Drawing,,Saturday,"November 8, 2025",2:00 PM,4:00 PM,2:00,120.0,Confirmed,Art Museum,Creativity Lab,Art Museum,,Danielle Beach,,Arts and Health Mercer,Leni Paquet-Morante,In Person,Studio,General Audience,Public,Y,Y,,9,41411 B0001 GU633,Make it clear on website that PU students can register for free.,
"Forms and Forums: Women Ceramists, Skill, and the Classroom as Site, Keynote Lecture with Professor Jenni Sorkin",,Thursday,"November 13, 2025",5:30 PM,6:40 PM,1:10,70.0,Confirmed,Art Museum,Grand Hall,Art Museum,Museum Education,Cara and Danielle,,,Toshiko Takaezu: Dialogues in Clay,In Person,Lecture,General Audience,Public,N,N,,81,41415 B0371 GU633,Record and post on website - David Kelly Crow confirmed. Julie organizing a small dinner for speaker after.,Doors locked when needed to be unlocked. Lollipops helped. 
Drawing from the Collections: Patterns in Pastel   ,,Thursday,"November 13, 2025",8:00 PM,9:00 PM,1:00,60.0,Confirmed,Virtual,Online only,Art Museum,Museum Education,Danielle Beach,,Arts Council of Princeton,Princeton Collects,Virtual,Studio,General Audience,Public,Y,N,,349,41415 B0371 GU633,,
Photo Historys Futures: Diana Kamin ,,Wednesday,"November 19, 2025",5:00 PM,6:00 PM,1:00,60.0,Confirmed,Art Museum,Small Auditorium,Art Museum,Museum Education,Danielle Beach,,Dept Art & Arch,Photo History's Futures,In Person,Lecture,General Audience,Public,N,N,,43,41411 B0001 GU633: DB to send cost breakdown for chart string transfer to Jennifer Loessey,Monica liked the format and space. 43 felt like a good turnout in the room.,Attuti is the one who unlocked and locked the doors for us. Monica liked the format. **Diana mentioned that the LeCorbusier chairs we used were low and she couldn't see the back row.
Artist Talk: Diana Al-Hadid,,Thursday,"November 20, 2025",5:30 PM,6:40 PM,1:10,70.0,Confirmed,Art Museum,Grand Hall,Art Museum,Museum Education,Cara Bramson,,SAB,Building Commissions,In Person,Lecture,General Audience,Public,N,N,,60,41415 B0371 GU633,"Recorded and posted on our website - David Kelly Crow/Joe Conway confirmed to record and edit. Membership team will be there to greet folks and hand out membership info. SAB dinner after for select follks. **All program particpants (except Allie) still need to sign recording release form. Printed out at my desk. **Lollipop signs at my desk. **Parking confirmed for Joe Conlon, videographer. Dinner after the talk.",A little long - people left before the end.
Drawing from the Collections: Portraits in Pastel,,Thursday,"November 20, 2025",8:00 PM,9:00 PM,1:00,60.0,Confirmed,Virtual,Online only,Art Museum,Museum Education,Danielle Beach,,Arts Council of Princeton,Princeton Collects,Virtual,Studio,General Audience,Public,Y,N,,362,41415 B0371 GU633,,
Making as Studying Greek Pottery (talk),,Friday,"November 21, 2025",2:00 PM,3:00 PM,1:00,60.0,Confirmed,Art Museum,Small Auditorium,Art Museum,Museum Education,Cara Bramson,,Dept Art & Arch,,In Person,Lecture,Department/Academic,Public,Y,N,,70,Archeology to cover,Went well! Docent was in galleries with group during transiton. Lecture Hall 134 confirmed (Cara's EMS) 1:30-3; Ancient Galleries 3-3:30 (need to request in EMS); 137 Creativity Lab 3:30-5pm ,
Making as Studying Greek Pottery (studio & gallery visit),,Friday,"November 21, 2025",3:00 PM,5:00 PM,2:00,120.0,Confirmed,Art Museum,Creativity Lab,Art Museum,Museum Education,Cara Bramson,,Dept Art & Arch,,In Person,Studio,Department/Academic,Public,Y,N,,48,Archeology to cover,Lecture Hall 134 confirmed (Cara's EMS) 1:30-3; Ancient Galleries 3-3:30 (need to request in EMS); 137 Creativity Lab 3:30-5pm ,
"Illuminations
Portraits by Artist Jordan Eagles",,Monday,"December 1, 2025",5:30 PM,8:00 PM,2:30,150.0,Confirmed,Art Museum,Seminar Rooms,Art Museum,Museum Education,Cara Bramson,,,Jordan Eagles,In Person,Other,General Audience,Public,N,N,,12,41411 B0001 GU633,,"Monday after Thanksgiving isn't an ideal time for a program, but in this case, we wanted to because it was World AIDS Day. Winter storms canceled flights for many."
Art Museum Student Gala,,Thursday,"December 4, 2025",7:00 PM,9:00 PM,2:00,120.0,Confirmed,Art Museum,Multiple Locations,Art Museum,Museum Education,Cara Bramson,,SAB,Student Program,In Person,Open House,Student-Centric,Public,N,N,,295,41415 B0371 GU323,"Art Museum - Multiple Locations: Confirmed Creativity Labs, Grand Hall, Patio. 134 confirmed (422323). Attendance by the hour from SMS: 50+160+85 = 295",
Drawing from the Collections: Pastels and the Deconstructed Grid,,Thursday,"December 4, 2025",8:00 PM,9:00 PM,1:00,60.0,Confirmed,Virtual,Online only,Art Museum,Museum Education,Danielle Beach,,Arts Council of Princeton,Princeton Collects,Virtual,Studio,General Audience,Public,Y,N,,427,41415 B0371 GU633,,
Curator Gallery Talk: Alexandra Letvin,,Friday,"December 5, 2025",2:00 PM,3:00 PM,1:00,60.0,Confirmed,Art Museum,Grand Hall,Art Museum,Museum Education,Cara Bramson,,,Public Programs,In Person,Lecture,General Audience,Public,N,N,,60,41411 B0001 GU633,Secondary location: European Gallery,
Conservation Studios Visiting Hours,,Thursday,"December 11, 2025",3:00 PM,5:00 PM,2:00,120.0,Confirmed,Art Museum,Conservation Studio,Art Museum,Museum Education,Danielle Beach,,,Public Programs,In Person,Open House,General Audience,Public,N,N,,99,41415 B0371 GU633 ,"Quite busy from 3-3:30, then dropped off at 4pm and picked up a little later. Definitely busiest from 3-3:30. **Need to request salto turned off for duration of the program.","When I told one woman about the program she responded, ""No way I'm missing that."" "
Pop-Up Talk: Curator Laura M. Giles,,Friday,"January 9, 2026",2:00 PM,3:00 PM,1:00,60.0,Confirmed,Art Museum,Grand Hall,Art Museum,Museum Education,Danielle Beach,,,Public Programs,In Person,Lecture,General Audience,Public,N,N,,67,41411 B0001 GU633, Secondary Location: Gallery 30 (Howard Mele Gallery Prints and Drawings 203DCOR) and American Pavilion,
Conservation Panel: Preparing the Collections for Their New Home,,Thursday,"January 22, 2026",5:30 PM,6:30 PM,1:00,60.0,Confirmed,Art Museum,Grand Hall,Art Museum,Museum Education,Cara and Danielle,,,Public Programs,In Person,Panel Discussion,General Audience,Public,N,N,,63,41415 B0371 GU633,(record and put on website) BC Confirmed,
