Zip Code,Count
10001,1
10009,1
10010,1
10026,1
10463,1
11105,1
11215,2
11222,1
11362,1
11439,1
14619,1
14850,1
15208,1
18938,1
18940,1
19128,1
19151,1
19154,1
19426,1
20012,1
20871,1
21210,1
24134,1
27705,1
33707,1
37075,1
40229,1
48103,1
60608,1
60615,1
60622,1
60660,1
60804,1
75013,1
77027,1
85749,1
90049,1
97124,1
00687,1
07054,1
07071,1
07083,1
07095,1
07111,1
07205,1
07305,1
0740,1
07506,1
07728,1
07731,1
07752,1
07756,1
08012,1
08054,1
08221,1
08502,1
08512,2
08515,1
08520,2
08536,2
0854,1
08540,8
08542,2
08550,5
08558,2
08618,2
08628,2
08648,2
08650,1
08809,1
08816,1
08844,2
08846,1
08852,2
08882,2
08886,1
08901,2
08902,2
