Zip Code,Count,Distance (miles)
10001,1,44.13
10009,1,43.91
10010,1,44.30
10026,1,48.24
10463,1,53.62
11105,1,48.86
11215,2,41.48
11222,1,45.22
11362,1,56.00
11439,1,52.08
14619,1,246.82
14850,1,173.23
15208,1,276.11
18938,1,17.44
18940,1,17.03
19128,1,36.90
19151,1,40.87
19154,1,24.82
19426,1,42.77
20012,1,158.01
20871,1,159.15
21210,1,125.62
24134,1,388.64
27705,1,379.11
33707,1,984.06
37075,1,704.86
40229,1,608.82
48103,1,492.00
60608,1,684.94
60615,1,681.15
60622,1,685.65
60660,1,685.41
60804,1,689.53
75013,1,1313.41
77027,1,1380.57
85749,1,2070.86
90049,1,2425.03
97124,1,2432.23
07054,1,37.63
07071,1,42.19
07083,1,31.31
07095,1,24.06
07111,1,34.18
07205,1,32.78
07305,1,38.35
07506,1,49.35
07728,1,21.06
07731,1,27.00
07752,1,33.13
07756,1,35.23
08012,1,43.64
08054,1,30.73
08221,1,69.36
08502,1,6.85
08512,2,8.32
08515,1,16.19
08520,2,8.81
08536,2,4.57
08540,8,1.36
08542,2,0.46
08550,5,5.69
08558,2,5.18
08618,2,10.29
08628,2,10.40
08648,2,10.29
08650,1,5.68
08809,1,24.25
08816,1,14.07
08844,2,8.97
08846,1,17.58
08852,2,5.73
08882,2,15.79
08886,1,33.85
08901,2,14.47
08902,2,11.52
