Zip Code,Count
02114,1
04901,1
06016,1
06437,1
07090,1
07306,1
07701,1
07712,1
07722,1
07755,1
07840,1
07928,1
08016,1
08033,1
08055,1
08205,1
08502,1
08520,1
08525,1
08536,2
08540,18
08542,4
08544,2
08550,3
08558,2
08571,1
08618,1
08648,5
08650,1
08690,2
08724,1
08732,1
08817,1
08822,1
08831,1
08844,1
08846,1
08852,1
08854,2
08873,1
08880,1
08873,1
08901,1
08902,1
08904,2
10027,1
10306,1
10573,1
11201,1
11221,1
11372,1
12601,1
14850,1
18940,2
18977,1
19104,1
19131,1
19143,1
19146,1
19147,1
19348,1
19810,1
20008,1
22046,1
32789,1
48823,1
50140,1
76034,1
80202,1
92129,1
97330,1
