Zip Code,Count,Distance (miles)
02114,1,232.10
04901,1,387.53
06016,1,153.56
06437,1,122.11
07090,1,26.22
07306,1,40.61
07701,1,30.79
07712,1,32.56
07722,1,25.23
07755,1,33.93
07840,1,36.08
07928,1,29.46
08016,1,21.93
08033,1,37.49
08055,1,34.72
08205,1,61.32
08502,1,6.85
08520,1,8.81
08525,1,6.84
08536,2,4.57
08540,18,1.36
08542,4,0.46
08544,2,0.00
08550,3,5.69
08558,2,5.18
08571,1,N/A
08618,1,10.29
08648,5,10.29
08650,1,5.68
08690,2,7.99
08724,1,33.64
08732,1,38.74
08817,1,17.75
08822,1,15.44
08831,1,11.99
08844,1,8.97
08846,1,17.58
08852,1,5.73
08854,2,17.30
08873,1,13.16
08880,1,15.42
08873,1,13.16
08901,1,14.47
08902,1,11.52
08904,2,15.77
10027,1,48.60
10306,1,31.91
10573,1,69.00
11201,1,42.17
11221,1,44.81
11372,1,49.04
12601,1,101.23
14850,1,173.23
18940,2,17.03
18977,1,12.66
19104,1,39.58
19131,1,39.47
19143,1,41.31
19146,1,39.76
19147,1,39.01
19348,1,65.03
19810,1,58.13
20008,1,161.02
22046,1,168.28
32789,1,896.46
48823,1,533.78
50140,1,1011.42
76034,1,1344.91
80202,1,1597.43
92129,1,2384.91
97330,1,2458.33
