Fiscal Year,July,August,September,October,November,December,January,February,March,April,May,June,Total
FY10,7294,9823,11924,15000,11582,10803,7686,8059,11868,14808,15758,9377,133982
FY12,10939,9293,9124,11880,11021,8420,7066,9921,10705,12276,11602,10852,123099
FY13,10177,8989,8610,10031,9648,8987,9307,9368,11706,13274,10567,9908,120572
FY14,9594,10573,8669,13717,10902,6259,5777,9982,11599,14269,16959,11875,130175
FY15,13372,13029,9672,12444,14456,7989,7802,9334,12410,16320,16092,12372,145292
FY16,13902,16379,19348,22751,22478,19313,13242,13923,15258,16932,18609,14145,206280
FY17,16135,15668,13221,16278,16844,12386,9343,12580,13589,19387,18512,17142,181085
FY18,19959,21111,14807,16950,15611,13337,8865,14012,14199,18150,17130,18055,192186
FY19,16846,17612,15514,17245,17478,15972,11168,14660,15233,16807,18653,15559,192747
FY20,16181,15785,13304,16400,17178,12806,10575,16184,6385,5722,1898,0,132418
FY24,3803,4045,5716,4956,5936,4984,2410,5159,4955,4026,3903,4626,54519
FY25,3134,3480,5955,3926,4782,4147,2277,5139,3390,3802,2574,4320,46926
FY26,,,,10776,71184,40026,29882,32657,40794,51856,50777,35708,363660
FY27,40137,41514,24892,,,,,,,,,,102157
